line,raw,home_team,away_team,reason,file
210,           1. FC Union Berlin      v VfL Bochum 1848          0-2    [awarded],1. FC Union Berlin,VfL Bochum 1848,non-organic result tag: [awarded],deutschland_2024-25.txt
34,           Sassuolo Calcio         v Delfino Pescara          0-3    [awarded],Sassuolo Calcio,Delfino Pescara,non-organic result tag: [awarded],italy_2016-17.txt
12,  20:45  Hellas Verona FC         3-0  AS Roma                  [awarded],Hellas Verona FC,AS Roma,non-organic result tag: [awarded],italy_2020-21.txt
